deptid,reasonid,department,reason,deptshort,good,NumberHits,childid,first_name,familyid,last_name,age,divorcedparents,addressid1,Street,number,city,country,iso2Country,iso3Country,eu,addressid2,street2,number2
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104451,Maggi,423977,Balaizot,1,0,344977,Anthes Plaza,233,Valdivia,Chile,CL,CHL,N,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110488,Georas,427681,Boydle,12,0,348681,Boyd Pass,76,Milín,Czech Republic,CZ,CZE,Y,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116040,Alva,431085,Dotson,2,1,352085,Dottie Road,126,Kiel,Germany,DE,DEU,Y,787729,Schiller Park,206
123,2406,Dietary Intake Analysis Department,Too much sugar,DIAD,N,143,105806,Eugenie,424792,Loreit,1,0,345792,Manley Lane,130,Janów,Poland,PL,POL,Y,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111430,Jeramey,428266,La Padula,13,0,349266,Little Fleur Street,224,Almere Haven,Netherlands,NL,NLD,Y,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104869,Sergent,424225,Zanetello,3,0,345225,Westport Crossing,73,Milwaukee,United States,US,USA,N,,,
256,3878,Affective Empathy Analysis Department,Disregard for rules,AEAD,N,183,113964,Joanna,429811,Fowells,4,0,350811,Fremont Park,83,Akita,Japan,JP,JPN,N,,,
256,3878,Affective Empathy Analysis Department,Disregard for rules,AEAD,N,183,113635,Rooney,429607,Patillo,12,1,350607,Oneill Trail,244,Alburitel,Portugal,PT,PRT,Y,787538,Porter Crossing,177
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,114602,Kahaleel,430207,Skull,8,1,351207,South Point,235,Newark,United States,US,USA,N,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116691,Clywd,431476,Sherwill,10,1,352476,Shelley Court,198,San Jose,United States,US,USA,N,787769,Dapin Pass,176
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,106323,Reeta,425119,Negal,3,0,346119,Nevada Way,49,Vidual,Portugal,PT,PRT,Y,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,115907,Sibeal,431005,Water,16,0,352005,Vera Way,196,Florence,United States,US,USA,N,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,107655,Jeremy,425940,Mulrenan,14,1,346940,Namekagon Center,208,Torre de Moncorvo,Portugal,PT,PRT,Y,787087,Emmet Plaza,238
101,1002,Scholar Behavior Analysis Department,Bullying peers,SBAD,N,194,101647,Jdavie,422255,Ambrogio,16,0,343255,Aberg Parkway,145,Ajax,Canada,CA,CAN,N,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103161,Merrili,423175,Larose,11,0,344175,Longview Parkway,216,Tauranga,New Zealand,NZ,NZL,N,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110478,Stephine,427675,Gianninotti,1,0,348675,Graceland Park,193,Narita,Japan,JP,JPN,N,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,106388,Arlana,425156,Bramah,13,0,346156,Briar Crest Parkway,233,Náchod,Czech Republic,CZ,CZE,Y,,,
101,1002,Scholar Behavior Analysis Department,Bullying peers,SBAD,N,194,101739,Abby,422309,Meaddowcroft,17,0,343309,Mockingbird Circle,157,Zmiennica,Poland,PL,POL,Y,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104897,Frannie,424243,Glayzer,2,0,345243,Green Alley,242,Sōka,Japan,JP,JPN,N,,,
101,1002,Scholar Behavior Analysis Department,Bullying peers,SBAD,N,194,101575,Brenden,422212,Dillon,4,0,343212,Division Place,87,Essen,Germany,DE,DEU,Y,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104080,Richard,423749,Skyrm,16,0,344749,South Terrace,160,Newark,United States,US,USA,N,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,106403,Edgardo,425166,Issacof,2,0,346166,John Wall Way,22,'s-Hertogenbosch,Netherlands,NL,NLD,Y,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116142,Lucias,431139,Henaughan,16,0,352139,Homewood Plaza,239,Sneek,Netherlands,NL,NLD,Y,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,115687,Franklyn,430873,Crankshaw,12,0,351873,Crescent Oaks Way,223,Berlin,Germany,DE,DEU,Y,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116707,Locke,431486,Yates,11,0,352486,West Hill,110,Bellevue,United States,US,USA,N,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111774,Gallard,428478,Loffel,12,0,349478,Manitowish Crossing,234,Halinów,Poland,PL,POL,Y,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,114734,Staci,430284,Frensche,16,0,351284,Fulton Terrace,135,Fukayachō,Japan,JP,JPN,N,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,115649,Janel,430852,Crookston,1,0,351852,Crownhardt Road,214,Karlsruhe,Germany,DE,DEU,Y,,,
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,112779,Katerina,429091,Edelston,14,0,350091,Eliot Junction,139,Erátyra,Greece,GR,GRC,Y,,,
123,2409,Dietary Intake Analysis Department,Snacking between meals,DIAD,N,170,109734,Marvin,427234,Ainley,11,0,348234,5th Park,56,Kelowna,Canada,CA,CAN,N,,,
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,112285,Vivie,428786,Volet,16,0,349786,Utah Pass,148,Youngstown,United States,US,USA,N,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,111068,Curry,428043,Erdis,12,0,349043,Esker Terrace,87,Néa Karváli,Greece,GR,GRC,Y,,,
437,7654,Awesome Behavior Detection Department,An angel fallen from heaven,ABDD,Y,197,117643,Ninon,432069,Dawidowsky,15,1,353069,Declaration Park,31,Hannover,Germany,DE,DEU,Y,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116288,Charis,431231,Adrian,1,0,352231,4th Place,17,Vegreville,Canada,CA,CAN,N,,,
101,1002,Scholar Behavior Analysis Department,Bullying peers,SBAD,N,194,102150,Georges,422551,Brough,1,0,343551,Bultman Point,238,Veselí nad Lužnicí,Czech Republic,CZ,CZE,Y,,,
123,2409,Dietary Intake Analysis Department,Snacking between meals,DIAD,N,170,109250,Ruben,426936,Philipps,6,0,347936,Pawling Parkway,17,Beijós,Portugal,PT,PRT,Y,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,115625,Cam,430834,Marcussen,3,0,351834,Melby Park,28,Poddębice,Poland,PL,POL,Y,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,112069,Penny,428657,Kleinmintz,2,0,349657,Leroy Place,239,Rotterdam,Netherlands,NL,NLD,Y,,,
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,101084,Calida,421908,Szimoni,7,0,342908,Sunnyside Drive,168,Frankfort,United States,US,USA,N,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,106475,Randy,425213,Dalgliesh,3,0,346213,Daystar Trail,154,Bremerhaven,Germany,DE,DEU,Y,,,
437,7654,Awesome Behavior Detection Department,An angel fallen from heaven,ABDD,Y,197,116947,Shawna,431644,Parades,14,1,352644,Old Shore Avenue,148,Recarei,Portugal,PT,PRT,Y,787796,Lerdahl Center,19
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103730,Orland,423532,Spellworth,17,0,344532,Stang Court,111,Miami,United States,US,USA,N,,,
101,1002,Scholar Behavior Analysis Department,Bullying peers,SBAD,N,194,101983,Rudolfo,422463,Lenihan,2,0,343463,Luster Terrace,96,Brzeg Dolny,Poland,PL,POL,Y,,,
101,1002,Scholar Behavior Analysis Department,Bullying peers,SBAD,N,194,102568,Robinia,422798,Rames,8,0,343798,Randy Point,156,"Palmas De Gran Canaria, Las",Spain,ES,ESP,Y,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104594,Taite,424070,Platt,16,1,345070,Pierstorff Parkway,188,Grosuplje,Slovenia,SI,SVN,Y,786842,Artisan Pass,206
123,2409,Dietary Intake Analysis Department,Snacking between meals,DIAD,N,170,109198,Marcellina,426900,Fannon,13,0,347900,Fairfield Circle,10,Stamáta,Greece,GR,GRC,Y,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116818,Carole,431564,Morrilly,4,0,352564,Moulton Court,244,Pedome,Portugal,PT,PRT,Y,,,
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,112264,Rhodie,428775,Nathon,6,0,349775,Nevada Lane,45,Sarzedo,Portugal,PT,PRT,Y,,,
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,100735,Doralyn,421687,Mateo,3,0,342687,Melvin Hill,236,Raszków,Poland,PL,POL,Y,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104374,Otho,423931,Royal,3,0,344931,Rusk Court,90,Tidaholm,Sweden,SE,SWE,Y,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,106770,Ricki,425391,Sedgefield,8,0,346391,Schurz Lane,186,Fullerton,United States,US,USA,N,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111871,Merle,428534,Leven,15,1,349534,Macpherson Park,76,Chrzanów,Poland,PL,POL,Y,787388,Parkside Pass,120
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,112563,Althea,428948,Donaher,10,0,349948,Dorton Hill,60,Köln,Germany,DE,DEU,Y,,,
123,2409,Dietary Intake Analysis Department,Snacking between meals,DIAD,N,170,109092,Mead,426836,Hesse,16,0,347836,Hooker Pass,211,Apeldoorn,Netherlands,NL,NLD,Y,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103868,Conni,423623,Swyn,8,1,344623,Sunfield Parkway,96,Topeka,United States,US,USA,N,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110757,Augustin,427844,Ludron,12,1,348844,Maple Wood Pass,173,Kiełczów,Poland,PL,POL,Y,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110716,Gayel,427817,Falkinder,17,0,348817,Fair Oaks Pass,196,Skotoússa,Greece,GR,GRC,Y,,,
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,101031,Donnajean,421872,Albasiny,16,0,342872,6th Drive,192,North Vancouver,Canada,CA,CAN,N,,,
256,3878,Affective Empathy Analysis Department,Disregard for rules,AEAD,N,183,113667,Allegra,429626,Kristoffersson,11,0,350626,Lindbergh Road,136,Zwolle,Netherlands,NL,NLD,Y,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103050,Rex,423105,Donisthorpe,18,0,344105,Dorton Point,77,Kiel,Germany,DE,DEU,Y,,,
123,2409,Dietary Intake Analysis Department,Snacking between meals,DIAD,N,170,109260,Obidiah,426940,Giroldo,1,0,347940,Grasskamp Trail,232,Shiki,Japan,JP,JPN,N,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,102882,Lianna,422996,Linnit,9,0,343996,Mallory Drive,201,Gardawice,Poland,PL,POL,Y,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,114931,Sybilla,430403,Spyer,6,0,351403,Steensland Way,205,Port Saint Lucie,United States,US,USA,N,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,108125,Ahmed,426247,Kindleside,7,1,347247,Laurel Place,144,Den Haag,Netherlands,NL,NLD,Y,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,109961,Tiphani,427364,Davidove,0,1,348364,Debs Trail,7,Braunschweig,Germany,DE,DEU,Y,,,
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,100942,Mureil,421821,O'Leagham,9,1,342821,Northview Crossing,171,Cabra Figa,Portugal,PT,PRT,Y,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103691,Lodovico,423507,Aasaf,5,0,344507,1st Court,56,Sydney,Australia,AU,AUS,N,,,
437,7654,Awesome Behavior Detection Department,An angel fallen from heaven,ABDD,Y,197,117287,Benedikt,431858,Ringrose,11,0,352858,Rieder Lane,188,Jönköping,Sweden,SE,SWE,Y,,,
123,2406,Dietary Intake Analysis Department,Too much sugar,DIAD,N,143,105259,Constancy,424457,Helks,5,1,345457,Homewood Court,213,Sneek,Netherlands,NL,NLD,Y,786897,Pawling Lane,235
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116584,Starla,431411,Tuffrey,8,1,352411,Tomscot Avenue,109,Trenton,United States,US,USA,N,787766,Grayhawk Street,126
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103875,Dickie,423626,Hucker,18,0,344626,International Lane,175,Tiel,Netherlands,NL,NLD,Y,,,
123,2406,Dietary Intake Analysis Department,Too much sugar,DIAD,N,143,105178,Happy,424410,Simonel,3,0,345410,Shoshone Point,98,Pueblo,United States,US,USA,N,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,112013,Trace,428616,Mossdale,5,0,349616,Moulton Pass,203,Requião,Portugal,PT,PRT,Y,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111350,Lianna,428211,Parradice,14,0,349211,Old Shore Terrace,152,Sobreira,Portugal,PT,PRT,Y,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104418,Franchot,423958,MacMakin,4,0,344958,Maywood Drive,231,Maniowy,Poland,PL,POL,Y,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111848,Dolly,428521,Jowle,16,0,349521,Kingsford Drive,146,Amsterdam Westpoort,Netherlands,NL,NLD,Y,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104314,Hercule,423893,Tunnick,9,0,344893,Tomscot Point,163,Albuquerque,United States,US,USA,N,,,
101,1002,Scholar Behavior Analysis Department,Bullying peers,SBAD,N,194,102276,Filbert,422629,Croux,0,0,343629,Dahle Pass,24,Stuttgart Stuttgart-Mitte,Germany,DE,DEU,Y,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116351,Dick,431271,Winn,11,0,352271,Washington Drive,83,Waco,United States,US,USA,N,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103557,Otha,423413,Spataro,16,1,344413,Springview Park,205,Lakeland,United States,US,USA,N,,,
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,112398,Brandon,428854,Shoebridge,1,1,349854,Sheridan Alley,133,San Rafael,United States,US,USA,N,787435,Moose Point,136
123,2406,Dietary Intake Analysis Department,Too much sugar,DIAD,N,143,105629,Meggy,424675,Causey,2,0,345675,Center Place,3,Bastia,France,FR,FRA,Y,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111204,Glynnis,428130,MacColgan,13,0,349130,Maryland Junction,30,Kup,Poland,PL,POL,Y,,,
437,7654,Awesome Behavior Detection Department,An angel fallen from heaven,ABDD,Y,197,117139,Ulrich,431762,Veschambre,7,0,352762,Union Way,15,Columbus,United States,US,USA,N,,,
256,3878,Affective Empathy Analysis Department,Disregard for rules,AEAD,N,183,114239,Ryan,429993,Woolpert,13,0,350993,Waywood Court,58,Lynchburg,United States,US,USA,N,,,
123,2406,Dietary Intake Analysis Department,Too much sugar,DIAD,N,143,106003,Meriel,424913,Solan,6,0,345913,Spohn Center,73,Fort Lauderdale,United States,US,USA,N,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,103562,Melly,423417,Attreed,13,0,344417,Anderson Way,240,Lanigan,Canada,CA,CAN,N,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116445,Bernetta,431330,Jarrett,14,0,352330,Kedzie Lane,48,Tilburg,Netherlands,NL,NLD,Y,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,115137,Lois,430535,Hazelby,18,0,351535,Hollow Ridge Junction,116,El Porvenir,Mexico,MX,MEX,N,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104838,Isahella,424213,Warburton,0,0,345213,Veith Point,17,Pittsburgh,United States,US,USA,N,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,115585,Maryanna,430807,Hawken,10,0,351807,Hoffman Crossing,241,Francisco Villa,Mexico,MX,MEX,N,,,
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,112710,Anthea,429047,Chaplyn,11,1,350047,Chinook Drive,104,Courbevoie,France,FR,FRA,Y,,,
101,1003,Scholar Behavior Analysis Department,Disrespect teachers,SBAD,N,179,102952,Zola,423042,Sirrell,7,1,344042,Sloan Plaza,192,Hartford,United States,US,USA,N,786716,Kensington Hill,142
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104297,Joann,423884,Gateman,1,0,344884,Glendale Way,63,Kawagoe,Japan,JP,JPN,N,,,
101,1002,Scholar Behavior Analysis Department,Bullying peers,SBAD,N,194,102590,Rex,422812,Menilove,11,0,343812,Monica Place,104,Żurowa,Poland,PL,POL,Y,,,
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,100572,Goldina,421589,Aimeric,10,0,342589,5th Park,45,Kelowna,Canada,CA,CAN,N,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,108051,Aili,426196,Azema,15,0,347196,Annamark Terrace,217,Los Andes,Chile,CL,CHL,N,,,
101,1002,Scholar Behavior Analysis Department,Bullying peers,SBAD,N,194,102196,Glenine,422577,Eyer,12,0,343577,Express Park,184,Pámfylla,Greece,GR,GRC,Y,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,105056,Jesse,424336,McCaughran,10,0,345336,Merrick Court,149,Stryszów,Poland,PL,POL,Y,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111785,Sheelagh,428483,Gregr,17,0,349483,Hanover Way,239,Vabalninkas,Lithuania,LT,LTU,Y,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,115940,Morgan,431026,Triggs,0,0,352026,Thompson Street,167,Omaha,United States,US,USA,N,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,107245,Emelen,425680,Crallan,13,0,346680,Crescent Oaks Plaza,131,Berlin,Germany,DE,DEU,Y,,,
437,7653,Awesome Behavior Detection Department,Exceptional behaviour at school,ABDD,Y,191,116615,Roberto,431429,Goolding,6,0,352429,Gulseth Center,68,Yokotemachi,Japan,JP,JPN,N,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,115271,Gabie,430613,Kerrod,10,0,351613,Lakewood Crossing,235,Zaandam,Netherlands,NL,NLD,Y,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,103965,Bartlett,423678,Elstub,2,0,344678,Erie Street,44,Lykóvrysi,Greece,GR,GRC,Y,,,
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,100459,Alfred,421522,Galtone,6,1,342522,Gina Hill,238,Inawashiro,Japan,JP,JPN,N,786548,Shoshone Crossing,65
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,100984,Rubia,421846,Androsik,7,0,342846,Algoma Center,153,Neebing,Canada,CA,CAN,N,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,106935,Christan,425489,Rugge,18,0,346489,Ruskin Way,67,Karlskoga,Sweden,SE,SWE,Y,,,
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,100503,Desmund,421552,Stango,9,0,342552,Stone Corner Park,106,Seminole,United States,US,USA,N,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,111056,Gerick,428035,Scotts,15,0,349035,Schmedeman Drive,247,Tucson,United States,US,USA,N,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110107,Bobby,427455,Riden,5,1,348455,Ridgeway Park,50,Söderköping,Sweden,SE,SWE,Y,787262,New Castle Circle,138
101,1002,Scholar Behavior Analysis Department,Bullying peers,SBAD,N,194,102037,Isiahi,422490,Hessel,8,0,343490,Hooker Pass,200,Apeldoorn,Netherlands,NL,NLD,Y,,,
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,112959,Gonzalo,429202,Goldis,6,0,350202,Grim Circle,213,Tsushima,Japan,JP,JPN,N,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,108483,Alysa,426466,Fearnehough,17,0,347466,Farmco Hill,178,Áno Kopanákion,Greece,GR,GRC,Y,,,
101,1001,Scholar Behavior Analysis Department,Bad scores,SBAD,N,174,100737,Arden,421688,Hopkins,7,0,342688,Ilene Alley,162,Doetinchem,Netherlands,NL,NLD,Y,,,
123,2407,Dietary Intake Analysis Department,Not eating veggies,DIAD,N,190,107391,Orion,425772,Gummery,16,0,346772,Havey Alley,161,Tierra y Libertad,Mexico,MX,MEX,N,,,
123,2406,Dietary Intake Analysis Department,Too much sugar,DIAD,N,143,105917,Baxy,424865,Zollner,1,0,345865,Westport Trail,41,Charleston,United States,US,USA,N,,,
256,3876,Affective Empathy Analysis Department,Not listening to parents,AEAD,N,175,111706,Basilius,428436,Robeson,0,0,349436,Riverside Alley,109,Karlskrona,Sweden,SE,SWE,Y,,,
123,2406,Dietary Intake Analysis Department,Too much sugar,DIAD,N,143,105874,Ferne,424838,Westhead,4,0,345838,Victoria Pass,203,Memphis,United States,US,USA,N,,,
101,1004,Scholar Behavior Analysis Department,Ditching classes,SBAD,N,166,104175,Madella,423804,Corden,11,0,344804,Corben Junction,179,Bourg-en-Bresse,France,FR,FRA,Y,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,114911,Darcy,430391,Chidley,13,1,351391,Claremont Road,19,Noisy-le-Grand,France,FR,FRA,Y,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,108608,Birgitta,426541,Kerford,7,0,347541,Lakeland Pass,225,Zaandam,Netherlands,NL,NLD,Y,,,
256,3877,Affective Empathy Analysis Department,Room messed up,AEAD,N,179,112585,Wynn,428960,Consterdine,10,1,349960,Coolidge Court,165,Manosque,France,FR,FRA,Y,,,
123,2406,Dietary Intake Analysis Department,Too much sugar,DIAD,N,143,105531,Raymond,424621,Emm,5,0,345621,Esch Lane,130,Marína,Greece,GR,GRC,Y,,,
256,3875,Affective Empathy Analysis Department,Repetitive tantrums,AEAD,N,201,110898,Zebadiah,427941,Yakushkin,4,0,348941,Welch Plaza,163,Vienna,United States,US,USA,N,,,
437,7652,Awesome Behavior Detection Department,Exceptional behaviour at home,ABDD,Y,194,114768,Mal,430306,Kollasch,1,1,351306,Lillian Crossing,115,Deventer,Netherlands,NL,NLD,Y,787635,Troy Avenue,73
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,107562,Shaina,425878,Corneck,17,1,346878,Cordelia Avenue,6,La Tour-du-Pin,France,FR,FRA,Y,,,
123,2408,Dietary Intake Analysis Department,Only eating with supervision,DIAD,N,164,107671,Sandie,425954,Lyster,12,0,346954,Mariners Cove Lane,249,Konstancin-Jeziorna,Poland,PL,POL,Y,,,
