familyid,last_name,divorcedparents
421577,Plett,1
421578,Estoile,0
421579,Motton,1
421580,Mitrikhin,1
421581,Beckey,0
421582,Coldbath,0
421583,Leeuwerink,0
421584,Brounfield,0
421585,Clubley,0
421586,Schukert,0
421587,Oppy,1
421588,Downs,0
421589,Aimeric,0
421590,Wondraschek,0
421591,Vick,0
421592,Ortas,0
421593,Senyard,1
421594,Fowley,1
421595,Wallentin,0
421596,Cannings,1
421597,Burberry,0
421598,Woan,1
421599,Gibard,1
421600,Ronaldson,0
421601,Curtain,0
421602,Hazelby,0
421603,Featherstone,0
421604,Cardow,0
421605,Leggis,0
421606,Megainey,0
421607,Mylan,0
421608,Gouldbourn,0
421609,Aldam,1
421610,Ogus,0
421611,Darkott,1
421612,Ganford,1
421613,Taylorson,1
421614,Flement,0
421615,Lippiello,0
421616,Jeanon,1
421617,Carbett,0
421618,Patesel,1
421619,Sanja,0
421620,Teanby,0
421621,Reede,0
421622,Denney,0
421623,Brennand,0
421624,Pitrelli,0
421625,Janssens,0
421626,Terbrug,1
421627,Brunning,0
421628,Saveall,0
421629,Dilleston,1
421630,Wilkes,0
421631,Readmire,0
421632,Mytton,0
421633,Canton,1
421634,McElhinney,0
421635,Lamberts,0
421636,Matokhnin,0
421637,Dreus,0
421638,Colwill,0
421639,Sharvill,0
421640,Daber,0
421641,Beamont,0
421642,Pie,1
421643,Breznovic,0
421644,Mackstead,0
421645,Ronaldson,0
421646,Lambdon,1
421647,Solland,0
421648,Cridlin,0
421649,Clother,1
421650,Wittman,0
421651,Bendon,0
421652,Kenningham,0
421653,MacAree,0
421654,Ianno,0
421655,Cuxson,0
421656,Drayn,0
421657,Sansun,0
421658,Hubbart,0
421659,Parram,1
421660,Routhorn,0
421661,Moberley,1
421662,Giacomozzo,0
421663,Need,0
421664,Eades,0
421665,Prince,1
421666,Lillicrop,1
421667,Teager,1
421668,McGlaughn,1
421669,Scriven,0
421670,Gostling,0
421671,Pask,0
421672,Lovett,0
421673,Rickcord,1
421674,Grimston,1
421675,Dainter,0
421676,Quernel,0
421677,Stadding,0
421678,Kearns,0
421679,Burnel,0
421680,Hebburn,0
421681,Dowles,0
421682,Grishunin,0
421683,Casse,0
421684,Winn,0
421685,Florez,1
421686,Plampeyn,0
421687,Mateo,0
421688,Hopkins,0
421689,Chestnutt,0
421690,McReath,1
421691,Hoppner,1
421692,Cockerill,0
421693,Hounsham,0
421694,Stubbings,0
421695,Stoker,0
421696,Legate,0
421697,Grenshiels,0
421698,Fillgate,0
421699,Stolting,0
421700,Healy,0
421701,Tew,0
421702,Gard,1
421703,Newsome,0
421704,Secrett,0
421705,Donaldson,0
421706,Scamp,0
421707,Kagan,0
421708,Claricoats,0
421709,Baile,1
421710,Shergold,0
421711,Mongin,0
421712,Yendall,0
421713,Pingston,0
421714,Ayre,0
421715,Scottesmoor,0
421716,Abbys,1
421717,Melville,0
421718,Legister,0
421719,Odeson,1
421720,Smiths,1
421721,Moles,0
421722,Oris,0
421723,Trimby,1
421724,Nappin,1
421725,Gallant,1
421726,McRobert,1
421727,Skryne,0
421728,Tompion,1
421729,Logesdale,0
421730,Enrico,0
421731,Cotton,0
421732,Leipoldt,0
421733,Billanie,0
421734,Clymer,0
421735,Cudiff,0
421736,Unwins,1
421737,Dellenbrok,0
421738,Vinecombe,0
421739,Angood,0
421740,Bonallick,0
421741,Pessler,0
421742,Tart,0
421743,Lockhart,0
421744,Gamblin,1
421745,Schiell,1
421746,Hulland,0
421747,Lardez,0
421748,Wigglesworth,0
421749,Dudden,1
421750,Attfield,0
421751,Guite,0
421752,Dewey,1
421753,Cummungs,0
421754,Sambrook,0
421755,Rakestraw,0
421756,La Torre,0
421757,Giacubo,0
421758,Callis,0
421759,Fonso,1
421760,Bishell,1
421761,Gon,0
421762,Freschi,1
421763,Essam,1
421764,Winram,0
421765,Wallen,0
421766,Aspital,0
421767,Penwarden,1
421768,Antowski,0
421769,Gottelier,1
421770,Pithie,0
421771,Ghelarducci,0
421772,Meggison,1
421773,Deschlein,0
421774,Ranscombe,1
421775,Gwyn,0
421776,Landis,0
421777,Minshall,0
421778,Carp,0
421779,Rudwell,1
421780,Madeley,0
421781,Freke,1
421782,Chessil,0
421783,Seivertsen,0
421784,Brameld,0
421785,Dumberrill,0
421786,Van Halen,1
421787,McElvogue,0
421788,Thal,0
421789,Eynaud,0
421790,Tremlett,0
421791,Kleinbaum,0
421792,Warwicker,1
421793,Senecaut,0
421794,Harverson,0
421795,McDougall,1
421796,Aliman,0
421797,Palffrey,0
421798,Olivetta,0
421799,Spolton,0
421800,Ottewell,0
421801,Bonnavant,1
421802,Bister,0
421803,Kilfoyle,1
421804,Seldon,0
421805,Bavidge,1
421806,Harbertson,0
421807,Hazelby,0
421808,Camosso,1
421809,Healy,0
421810,Didball,0
421811,Inggall,0
421812,Thiem,0
421813,Tuxwell,1
421814,Flecknell,1
421815,Letch,1
421816,Ruppeli,1
421817,Daborn,0
421818,De Francisci,0
421819,McCaughey,0
421820,Fronzek,0
421821,O'Leagham,1
421822,Stops,0
421823,Boatwright,1
421824,Berard,0
421825,McKennan,0
421826,Farncomb,1
421827,Pengelley,0
421828,Wigglesworth,0
421829,Boultwood,0
421830,Elman,0
421831,Kochel,1
421832,Oakey,1
421833,Tully,1
421834,Antonietti,0
421835,Axtonne,1
421836,Milkeham,0
421837,Conachy,0
421838,Stubbins,0
421839,Conring,0
421840,Gurdon,1
421841,Aplin,1
421842,Ogger,0
421843,Lelliott,0
421844,Carl,0
421845,Tuxill,0
421846,Androsik,0
421847,Spelwood,0
421848,Woodgate,0
421849,Beamson,0
421850,Chessman,0
421851,Szymonwicz,1
421852,Savidge,1
421853,Velde,0
421854,Nesey,0
421855,Wythe,0
421856,Lafrentz,0
421857,Latliff,0
421858,Hofler,1
421859,Waddoups,0
421860,Middlewick,0
421861,Hansford,1
421862,Nucciotti,0
421863,Hasser,0
421864,Goude,0
421865,Mansour,0
421866,Bexon,0
421867,Poppy,0
421868,Lowdeane,0
421869,Di Pietro,0
421870,Bouldstridge,0
421871,St Angel,1
421872,Albasiny,0
421873,Barnby,0
421874,Cone,1
421875,Eyden,0
421876,Braben,0
421877,Hellen,0
421878,Brion,0
421879,Greaterex,0
421880,Josilevich,0
421881,Truckell,1
421882,Screach,1
421883,Jaggard,0
421884,Fones,0
421885,Wapol,0
421886,Pea,0
421887,Manifold,0
421888,Jandak,0
421889,Godilington,1
421890,Shurmer,1
421891,De Dei,0
421892,Fawbert,1
421893,Antonelli,0
421894,Pawlyn,0
421895,Vials,0
421896,Sate,1
421897,Kerford,1
421898,MacAfee,0
421899,Theobalds,0
421900,Domb,0
421901,Atkinson,0
421902,Cradey,0
421903,Hulkes,0
421904,Whiskin,0
421905,Sandlin,0
421906,Sygroves,0
421907,Pawelek,0
421908,Szimoni,0
421909,Farrow,0
421910,Rechert,0
421911,Stinchcombe,0
421912,Colchett,1
421913,Franceschielli,0
421914,Trodler,0
421915,Berard,0
421916,Dornin,1
421917,McGenn,0
421918,MacAllester,0
421919,Cannon,0
421920,McEachern,1
421921,MacAless,0
421922,Beagen,0
421923,Knee,0
421924,Shambrooke,0
421925,Pietrzyk,0
421926,Jakel,1
421927,McGahy,0
421928,Callicott,1
421929,Spyer,0
421930,Maydway,1
421931,Sciacovelli,0
421932,Rymell,0
421933,Rubartelli,1
421934,Pillington,0
421935,Bartrap,0
421936,Cunnington,0
421937,Folks,0
421938,Swash,0
421939,Dallan,0
421940,Vallance,0
421941,Feely,0
421942,O'Concannon,1
421943,Tibbits,0
421944,Godman,0
421945,Phillips,0
421946,Forber,0
421947,Jachimiak,0
421948,Tireman,0
421949,Annwyl,0
421950,Errington,0
421951,Putson,1
421952,Townes,0
421953,Seleway,0
421954,Karlowicz,0
421955,Jirsa,0
421956,MacGrath,0
421957,O'Reilly,0
421958,Burridge,0
421959,Godbolt,0
421960,Rudyard,0
421961,Dews,0
421962,Cottisford,0
421963,Wooton,0
421964,Archbald,0
421965,Lapidus,1
421966,Castille,0
421967,Measom,1
421968,Hanscombe,0
421969,Renyard,0
421970,Klain,0
421971,Syrett,0
421972,Risebrow,0
421973,Blay,0
421974,Broomhead,0
421975,Cordelette,0
421976,Lawday,0
421977,Berks,1
421978,Ilson,1
421979,Ebi,1
421980,Skyppe,0
421981,Najera,1
421982,Ewbanche,0
421983,Gontier,0
421984,Pote,0
421985,Mulchrone,0
421986,Tregent,0
421987,Bickley,1
421988,Crofts,1
421989,Ghion,0
421990,Besson,0
421991,Drewry,0
421992,Grandison,0
421993,Hannant,0
421994,Briar,0
421995,Routham,1
421996,Arpino,1
421997,Whardley,0
421998,Bolter,0
421999,Wratten,0
422000,Brimman,0
422001,Habben,1
422002,Verdon,1
422003,Jachimiak,0
422004,Dempster,0
422005,Dunphie,0
422006,Berkeley,0
422007,MacAlinden,0
422008,Fitkin,1
422009,Broadberrie,0
422010,Anfusso,0
422011,Emblem,0
422012,Dunphie,0
422013,Lansdowne,0
422014,Gawn,0
422015,Eunson,0
422016,Belvard,0
422017,Ivanaev,0
422018,Harback,0
422019,Rabbitts,1
422020,Gilardoni,0
422021,Elham,0
422022,Currey,0
422023,Ilyinykh,1
422024,Klaussen,0
422025,Salzberger,1
422026,Keunemann,0
422027,Whistlecroft,0
422028,Smorthit,0
422029,Storah,0
422030,Wheatland,0
422031,Coventon,1
422032,Treher,0
422033,Ewings,1
422034,Karadzas,0
422035,Clint,1
422036,Gosswell,0
422037,Ivain,1
422038,Hardaker,0
422039,Cessford,1
422040,McMonies,0
422041,Jozsika,0
422042,Pitrasso,0
422043,Attenbrow,0
422044,Ganniclifft,0
422045,Getley,0
422046,Coggins,0
422047,Brimacombe,1
422048,Bernhart,0
422049,Tramel,0
422050,Seeger,0
422051,Mourton,0
422052,Holston,0
422053,Darey,1
422054,Flecknoe,1
422055,Stagg,0
422056,Kynforth,1
422057,Sillito,0
422058,Lere,0
422059,Cleaton,0
422060,Dy,1
422061,Loffel,0
422062,Okenden,0
422063,Lyttle,0
422064,Hicklingbottom,0
422065,McGarrell,0
422066,Endean,0
422067,Burdas,1
422068,Fassman,0
422069,Douch,0
422070,Warrack,0
422071,Fiorentino,0
422072,Eivers,0
422073,Revill,0
422074,Fitkin,0
422075,Leese,1
422076,Mongin,0
422077,Swanbourne,0
422078,Sampey,0
422079,Alexis,1
422080,Cossans,1
422081,Linnit,0
422082,Gaine of England,0
422083,Tregidga,0
422084,Becke,0
422085,Pendock,1
422086,Claughton,0
422087,Tunnow,1
422088,Olliar,0
422089,Hassin,0
422090,Tolworthy,0
422091,Knapton,1
422092,Draude,0
422093,Purple,0
422094,Roggeman,0
422095,Wise,0
422096,Badcock,1
422097,Pittham,0
422098,Halsted,0
422099,Hollington,1
422100,Farress,1
422101,Aldred,0
422102,Calderbank,1
422103,Van Waadenburg,0
422104,Mc-Kerley,0
422105,Paulin,0
422106,Cuolahan,1
422107,Tytcomb,1
422108,Geffen,0
422109,Dehn,1
422110,Gallimore,0
422111,Vany,0
422112,MacAne,0
422113,Grafham,0
422114,Oloshkin,1
422115,Powton,0
422116,Fumagalli,0
422117,Croll,0
422118,Andreolli,1
422119,Noyce,1
422120,Conneely,0
422121,Emes,0
422122,Wedderburn,0
422123,Bonnar,1
422124,Joerning,1
422125,Acres,0
422126,Heintz,1
422127,Cope,0
422128,Aylesbury,0
422129,Bloschke,1
422130,Yele,1
422131,Schechter,0
422132,Feehery,1
422133,Hans,1
422134,Croughan,0
422135,Eilhersen,1
422136,Titt,1
422137,Halwell,0
422138,Zellick,1
422139,Danielovitch,0
422140,McComiskie,1
422141,Tydeman,0
422142,Prettyjohns,0
422143,Firidolfi,0
422144,Saladin,0
422145,Siebert,1
422146,Ivashkin,1
422147,Bosquet,0
422148,Polleye,1
422149,Vaughan-Hughes,0
422150,McTerlagh,1
422151,Yates,0
422152,Macconaghy,1
422153,Nevitt,0
422154,Wheelwright,1
422155,Beevor,0
422156,Bragginton,1
422157,Collin,1
422158,Bohden,0
422159,De Lascy,0
422160,Gheorghescu,0
422161,Cardenas,0
422162,Percifull,1
422163,Treswell,1
422164,Mowles,1
422165,De Ruggero,1
422166,Pursglove,0
422167,Bowlesworth,1
422168,Grinin,0
422169,Nolin,0
422170,Wilce,0
422171,Pickston,1
422172,Gissing,0
422173,Harnwell,1
422174,Garfield,0
422175,Hay,0
422176,Hanselmann,0
422177,Wilmington,1
422178,Gavrieli,0
422179,Jirick,1
422180,Barts,1
422181,Deamer,0
422182,Bellany,0
422183,Wheelwright,0
422184,Stean,0
422185,Fones,0
422186,Coventon,0
422187,Gallear,0
422188,Wooster,1
422189,Hugli,0
422190,Vint,1
422191,Maharg,0
422192,Carnelley,0
422193,Chainey,1
422194,Gummery,1
422195,Davidofski,0
422196,Destouche,0
422197,Exelby,0
422198,Clampin,0
422199,Been,0
422200,Ive,1
422201,Rowswell,1
422202,Tamlett,1
422203,Norssister,0
422204,Brawn,0
422205,Hunting,0
422206,Parades,0
422207,Boribal,0
422208,Zanetto,0
422209,Leggott,0
422210,Gilchriest,0
422211,O'Luby,0
422212,Dillon,0
422213,Guidelli,0
422214,Weild,1
422215,Fernier,0
422216,Burford,1
422217,Annwyl,0
422218,Stenyng,0
422219,Arger,0
422220,Pilsbury,0
422221,Botte,0
422222,Osgar,0
422223,Bromehead,0
422224,Kennaird,0
422225,Fenelon,1
422226,Stearn,0
422227,Bridat,0
422228,Marjoribanks,0
422229,Tossell,0
422230,McCorley,0
422231,Reynoollds,0
422232,McGinnis,0
422233,Meese,0
422234,Keel,0
422235,McRill,0
422236,Lock,0
422237,Mathew,0
422238,Tolworthie,1
422239,Kobelt,1
422240,Moquin,0
422241,Carlill,0
422242,Meltetal,0
422243,de Werk,0
422244,Chicotti,0
422245,Crimmins,0
422246,MacAless,0
422247,Selborne,1
422248,Boseley,0
422249,Casey,0
422250,Eva,1
422251,Ambrosetti,0
422252,Catherick,0
422253,Garm,0
422254,Bartoli,1
422255,Ambrogio,0
422256,Bowditch,0
422257,Breese,1
422258,Rampley,0
422259,Rowsell,0
422260,Loch,1
422261,Gritten,0
422262,Climer,0
422263,Lilloe,0
422264,Clayson,0
422265,Dodman,1
422266,Vertigan,0
422267,MacAleese,0
422268,Weild,0
422269,Wensley,0
422270,Fidoe,0
422271,Fuggles,1
422272,Nolleth,0
422273,Hayzer,1
422274,Dreier,0
422275,Dawe,0
422276,Liddiard,0
422277,Pond,0
422278,Moores,0
422279,Heart,0
422280,Chin,0
422281,Labbati,0
422282,Brasner,0
422283,Karmel,0
422284,Gadman,0
422285,Kybert,0
422286,Alfonsetto,0
422287,Yeldham,0
422288,Casburn,1
422289,Mawby,0
422290,Oakly,1
422291,Crutchfield,0
422292,Hallgalley,0
422293,Gonning,0
422294,Murr,0
422295,Kinney,0
422296,Charter,0
422297,Syplus,0
422298,Ramberg,0
422299,Krammer,0
422300,Haseley,0
422301,Brosnan,0
422302,Cawthorne,0
422303,Seamen,0
422304,Worcs,0
422305,Coatts,0
422306,Watt,1
422307,Shah,0
422308,Tully,0
422309,Meaddowcroft,0
422310,Giannoni,1
422311,Licence,0
422312,Bartaletti,0
422313,Dowglass,0
422314,McGaugey,0
422315,Gittis,1
422316,Mingasson,0
422317,Colcomb,0
422318,Sibille,0
422319,Taylorson,0
422320,Allen,0
422321,Hellmer,1
422322,Sidworth,0
422323,Androsik,1
422324,Kenwrick,0
422325,Molson,0
422326,Tuckwell,0
422327,Benettelli,1
422328,Mogra,0
422329,Crone,1
422330,Paliser,0
422331,Javes,0
422332,McBain,0
422333,Labadini,0
422334,Knibb,0
422335,Conduit,1
422336,Piscotti,0
422337,Swinford,1
422338,Fold,0
422339,Hugli,1
422340,Clemenza,1
422341,Mintoft,0
422342,L'oiseau,1
422343,Vials,0
422344,Poles,0
422345,Karpf,0
422346,Linnett,0
422347,Grayley,0
422348,Fairchild,0
422349,Caldwall,0
422350,Angove,1
422351,Swatridge,1
422352,Courtney,0
422353,MacGeffen,0
422354,Pitkeathly,0
422355,Leverentz,0
422356,Domokos,1
422357,Longthorn,0
422358,Kibard,1
422359,Borgnet,0
422360,Rogeon,0
422361,Dodman,0
422362,Korneichik,0
422363,Peyntue,1
422364,Bonnette,0
422365,Houdmont,0
422366,Lorain,0
422367,Angric,0
422368,Liccardo,1
422369,Nesey,1
422370,Batram,0
422371,Whate,0
422372,Fuke,1
422373,Densham,1
422374,Mallock,0
422375,Brooksby,1
422376,Pllu,1
422377,Munby,1
422378,Columbine,0
422379,Marklund,0
422380,Kilmurry,0
422381,Paramor,0
422382,Nicely,0
422383,Halsworth,1
422384,Antonowicz,0
422385,Cherry,0
422386,Kindread,0
422387,Skeldinge,0
422388,Plet,0
422389,Kybert,0
422390,Webber,1
422391,Rozanski,0
422392,Roggers,0
422393,Brettor,0
422394,Hollyard,0
422395,Breadon,0
422396,Coakley,0
422397,Jewer,0
422398,Gullivent,1
422399,Ambrosini,1
422400,Hutcheon,0
422401,Andrey,0
422402,Sussex,0
422403,Griffe,1
422404,Huetson,1
422405,Iacobo,0
422406,Gregory,1
422407,Luckhurst,0
422408,Coady,0
422409,Harm,0
422410,Hierro,0
422411,Strutt,0
422412,Clayworth,0
422413,Paulot,0
422414,Lowndesbrough,0
422415,Waycot,1
422416,Pillman,1
422417,Snedden,0
422418,Ladon,0
422419,Marsay,0
422420,Sarle,0
422421,MacScherie,1
422422,Robson,1
422423,Swaysland,0
422424,Balmforth,0
422425,Godbolt,0
422426,McManamen,0
422427,Wharton,0
422428,Bernocchi,0
422429,Iacomo,0
422430,Munnery,0
422431,Clements,0
422432,Winter,0
422433,Bellin,0
422434,Raspison,0
422435,Rothera,0
422436,Giraudot,0
422437,Capel,0
422438,Joubert,1
422439,Porch,0
422440,Bollen,0
422441,Ruecastle,0
422442,Okker,0
422443,Croote,0
422444,Cheevers,0
422445,St Leger,0
422446,Guiett,0
422447,McLae,0
422448,Lacroix,0
422449,Cato,0
422450,McSperrin,0
422451,Clew,1
422452,Lockart,0
422453,Toulch,0
422454,Durnford,1
422455,McLorinan,1
422456,Millberg,0
422457,Mellenby,1
422458,Loan,0
422459,Carwithan,0
422460,Belison,0
422461,Gillbee,1
422462,Mainwaring,1
422463,Lenihan,0
422464,Mc-Kerley,0
422465,Ossenna,0
422466,Bliss,0
422467,Brazil,0
422468,Hun,0
422469,Whitebread,0
422470,Cockrell,0
422471,Cord,0
422472,Aspital,0
422473,Umpleby,0
422474,Hance,0
422475,Proswell,0
422476,Lourens,0
422477,Singers,0
422478,Burgin,0
422479,MacAlroy,0
422480,Kunzel,0
422481,Fisbey,1
422482,Paff,0
422483,McFadzean,0
422484,Eliassen,0
422485,Boik,0
422486,Beddin,0
422487,Formie,0
422488,Regis,0
422489,Rickcord,1
422490,Hessel,0
422491,Sexty,0
422492,Childs,0
422493,Bourley,0
422494,Carnell,0
422495,Oglevie,1
422496,Besque,0
422497,Banaszewski,1
422498,Gaddas,0
422499,Joss,0
422500,Hydes,0
422501,Willerton,0
422502,Saiger,0
422503,Franzonetti,0
422504,Hardwidge,0
422505,Ancliff,0
422506,Crocket,0
422507,Greathead,0
422508,Maxworthy,0
422509,Garrique,1
422510,Barkly,0
422511,Rappport,0
422512,Klazenga,0
422513,Elington,0
422514,Degg,0
422515,Gland,0
422516,Bunyard,1
422517,Lourens,0
422518,Christophers,0
422519,Kasper,0
422520,Seeger,0
422521,Giddins,0
422522,Emerton,0
422523,Popeley,0
422524,Emma,0
422525,Meggison,1
422526,Redemile,0
422527,Mossom,0
422528,Rossetti,0
422529,Gavin,0
422530,Kelshaw,0
422531,Smout,0
422532,Lewsam,0
422533,Hunnicot,0
422534,Tiner,0
422535,Tebb,0
422536,Dedon,0
422537,Moraleda,0
422538,Camellini,0
422539,Beri,0
422540,Lesaunier,0
422541,Posen,0
422542,Drable,1
422543,Duce,0
422544,Hayland,1
422545,Hallowes,0
422546,Lettington,0
422547,Brooking,0
422548,Bellee,1
422549,Fowgies,0
422550,Thain,1
422551,Brough,0
422552,MacAlinden,0
422553,Preddy,0
422554,Gately,1
422555,Dottrell,0
422556,Ottey,1
422557,Gilburt,0
422558,Sauvage,0
422559,Simison,1
422560,Ivanovic,0
422561,Cadagan,0
422562,Rossoni,0
422563,Tantrum,0
422564,Childes,0
422565,McGavin,0
422566,Heinzler,0
422567,Knight,0
422568,Lockart,0
422569,Hurst,0
422570,Crewther,0
422571,Lochhead,0
422572,Gilroy,0
422573,MacGillavery,0
422574,Lavis,1
422575,Sarjant,0
422576,Urlich,0
422577,Eyer,0
422578,MacTrustam,0
422579,Nunns,0
422580,Jackes,0
422581,Obee,0
422582,MacMakin,0
422583,Pughe,0
422584,Apedaile,0
422585,Schlagh,0
422586,Koeppke,1
422587,Tatteshall,1
422588,Wells,0
422589,Tompsett,1
422590,Culpan,1
422591,Nickols,0
422592,Allwright,0
422593,Alejandre,0
422594,Roskilly,0
422595,Tuny,0
422596,Baudin,1
422597,Buckland,1
422598,Leband,0
422599,Carp,0
422600,Pottie,0
422601,Startin,1
422602,Ottosen,0
422603,Sculley,0
422604,Shailer,0
422605,Levin,0
422606,Verissimo,0
422607,Scholig,0
422608,Lomasna,0
422609,Fearnehough,0
422610,Marion,1
422611,Reisin,0
422612,Durbridge,0
422613,Mulford,1
422614,Prahl,0
422615,Furmenger,1
422616,Goldby,0
422617,Terney,1
422618,Seagrove,0
422619,Haestier,0
422620,Gairdner,0
422621,Riep,0
422622,Sends,0
422623,Gopsill,0
422624,Beseke,0
422625,Cramp,0
422626,Abelov,1
422627,Bedingfield,1
422628,Faunt,0
422629,Croux,0
422630,Faire,1
422631,Easun,0
422632,Ruddiforth,0
422633,Smallacombe,0
422634,Jakel,0
422635,McGurn,1
422636,De Freyne,1
422637,MacCarroll,1
422638,Artus,1
422639,Meddings,0
422640,Sedgman,1
422641,Teissier,0
422642,Colthard,1
422643,Fronzek,0
422644,Kalinowsky,0
422645,Allwright,1
422646,Flecknell,0
422647,Darrell,0
422648,Apedaile,0
422649,Frow,1
422650,Giffard,0
422651,Mogra,0
422652,Cagan,0
422653,Pogg,0
422654,Barnby,1
422655,Yakushkin,0
422656,Willcot,0
422657,Baldrey,0
422658,Savery,1
422659,Paddeley,0
422660,Bowell,0
422661,Borrowman,0
422662,Furphy,0
422663,Ostick,0
422664,Amthor,0
422665,Colebrook,0
422666,Kleinbaum,1
422667,Synke,0
422668,Rickaert,1
422669,Zold,0
422670,Roder,0
422671,McGarrie,0
422672,Trousdell,0
422673,Downage,0
422674,Fooks,0
422675,Cassar,1
422676,Burdas,0
422677,Wardingly,0
422678,Petracco,0
422679,Coit,0
422680,O'Leagham,0
422681,Abrahim,0
422682,Kitcherside,1
422683,Brader,0
422684,Cownden,0
422685,Propper,0
422686,Messent,1
422687,Gavriel,0
422688,Gritten,0
422689,Townshend,0
422690,Haddeston,0
422691,McGillicuddy,0
422692,Grose,0
422693,Buffin,0
422694,Becconsall,0
422695,Enstone,1
422696,Kinchley,1
422697,Pinchin,1
422698,McGeachy,1
422699,Clayson,0
422700,Anderson,0
422701,Grason,0
422702,Gladwell,0
422703,Pargeter,0
422704,Fishbie,0
422705,Beckey,0
422706,Turbitt,0
422707,Rohlf,1
422708,Guilloud,0
422709,Tire,1
422710,Fawcett,0
422711,Gumary,0
422712,Bish,0
422713,Gianninotti,0
422714,Baynham,0
422715,Knowler,0
422716,Yoselevitch,0
422717,Morbey,0
422718,Barabisch,1
422719,Noden,0
422720,Baseggio,0
422721,Cleobury,0
422722,Cowling,1
422723,Heigho,0
422724,Jurasek,0
422725,Dowrey,0
422726,Emm,0
422727,Vivyan,0
422728,Culmer,0
422729,Simenot,0
422730,Larrett,0
422731,Demageard,1
422732,Kilgrove,0
422733,Voller,0
422734,Tummons,0
422735,Lawtie,1
422736,Brazear,0
422737,Ingrey,0
422738,Blabber,1
422739,Bellee,0
422740,McCorkindale,1
422741,Miranda,0
422742,Jeandet,1
422743,Vassall,1
422744,Stefi,1
422745,Pfaffe,1
422746,Yeardsley,0
422747,Crinion,1
422748,Kiggel,0
422749,Vescovini,0
422750,Shergold,0
422751,Cranmore,0
422752,Braun,0
422753,Tarpey,0
422754,Vallender,1
422755,Bruyntjes,0
422756,Mobius,0
422757,Vanyushin,0
422758,Feldmus,0
422759,Redihalgh,0
422760,Spurrier,0
422761,Cashford,1
422762,Iddenden,0
422763,Gowthrop,1
422764,Reace,1
422765,Gosnoll,0
422766,Golby,0
422767,Manjin,1
422768,Hun,0
422769,Cinnamond,1
422770,Chipping,0
422771,Ceaser,0
422772,Holme,0
422773,Kensy,0
422774,Hollyland,0
422775,Mahady,0
422776,Ritzman,0
422777,Guinn,0
422778,Keeley,0
422779,Bomfield,0
422780,Maltby,0
422781,Latta,0
422782,Giraudot,0
422783,Feldmann,0
422784,Bastone,1
422785,McKennan,0
422786,McKall,0
422787,Sillito,1
422788,Tupper,0
422789,Gainsbury,1
422790,Souttar,0
422791,Hurdidge,0
422792,Pridden,0
422793,O'Loughnan,0
422794,Roskeilly,1
422795,Storah,1
422796,Durrad,1
422797,Reedman,0
422798,Rames,0
422799,O' Clovan,0
422800,Littley,0
422801,Ferran,0
422802,Peaddie,0
422803,Bushell,1
422804,Scone,0
422805,Danieli,0
