childid,first_name,familyid,age,misbehaviorindex
100471,Franni,421530,16,0.2866311026
100472,Maureen,421531,8,0.0003223637
100473,Dag,421532,2,0.1405803847
100474,Hyacinthie,421532,5,0.9322915829
100475,Enrique,421533,13,0.0087757611
100476,Nancey,421533,6,0.1334048982
100477,Annabell,421534,3,0.1060222648
100478,Shir,421535,0,0.0112345502
100479,Wyndham,421536,1,0.0122308047
100480,Amara,421537,14,0.6630712228
100481,Candide,421538,16,0.0086813168
100482,Nobie,421539,6,0.7688842504
100483,Anson,421539,13,0.724332043
100484,Debera,421540,18,0.0400392226
100485,Jodie,421540,18,4.253841E-10
100486,Phaidra,421541,5,1.2533608E-7
100487,Kaila,421542,15,0.3293788326
100488,Hans,421543,1,0.0042421401
100489,Hobey,421544,15,3.031309E-10
100490,Bettina,421544,8,0.9635403782
100491,Valli,421545,2,0.1692311562
100492,Drusi,421546,1,0.0034371783
100493,Lidia,421547,11,0.0587001293
100494,Cyndi,421547,2,0.0001333343
100495,Pate,421548,2,0.6155638201
100496,Tommie,421548,12,0.4782571731
100497,Bartholomew,421549,2,0.260485819
100498,Mora,421549,13,0.0040872418
100499,Amabelle,421550,11,0.1079903764
100500,Ainslie,421550,2,1.5283717E-8
100501,Clari,421551,7,0.0077659637
100502,Shaine,421552,16,0.0012067691
100503,Desmund,421552,8,0.0000176554
100504,Keri,421553,13,0.022638035
100505,Olenka,421554,6,0.0185685903
100506,Alethea,421554,3,0.0333171343
100507,Tremaine,421555,14,5.5328033E-9
100508,Hercules,421555,5,0.0030809104
100509,Ellissa,421555,9,0.0013550959
100510,Ericha,421556,6,0.0235417097
100511,Harriott,421556,17,0.1804066299
100512,Renie,421556,5,0.0752986198
100513,Kellia,421557,18,0.6836340437
100514,Annemarie,421558,7,0.0334618243
100515,Paquito,421558,5,0.1818055874
100516,Alic,421559,3,0.8937050636
100517,Scarlet,421560,15,0.414409028
100518,Jarvis,421560,3,0.0007226667
100519,Adora,421561,12,0.5956921261
100520,Opalina,421561,16,0.8767092517
100521,Lexis,421562,17,0.6430795914
100522,Aloin,421563,16,0.0000227667
100523,Berty,421564,17,0.1282223616
100524,Otto,421565,8,0.0046280955
100525,Tabb,421565,4,0.2399185174
100526,Nadean,421565,2,0.1669493412
100527,Dorrie,421566,9,0.2811881609
100528,Selene,421566,9,0.0013511864
100529,Stephana,421566,14,0.0000654472
100530,Ad,421567,2,0.2212274085
100531,Rachael,421567,8,0.737590316
100532,Baxter,421568,10,0.000235592
100533,Burton,421568,15,0.9597695652
100534,Chaim,421568,4,0.433256066
100535,Clemmie,421569,8,0.355046883
100536,Tersina,421569,13,0.0362793341
100537,Corine,421570,15,0.008686561
100538,Smith,421570,11,0.0041831496
100539,Sebastian,421571,12,0.0117493844
100540,Merv,421572,3,0.0212505637
100541,Christos,421572,7,0.0056590502
100542,Corney,421573,14,0.0011512672
100543,Madeleine,421574,6,2.6467342E-9
100544,Henryetta,421574,3,0.0726642263
100545,Adrea,421574,13,0.0423670236
100546,Bridget,421575,6,0.5542475483
100547,Crista,421575,12,0.0149948404
100548,Odette,421575,0,0.00040358
100549,Frieda,421576,9,0.0135257232
100550,Pearce,421576,13,0.0045819858
100551,Bevan,421576,3,2.2912319E-6
100552,Alix,421577,9,0.8716258999
100553,Minny,421577,18,0.1185603561
100554,Libbey,421578,12,0.0000248374
100555,Carolee,421579,2,7.1120446E-7
100556,Fanni,421579,9,0.0058565661
100557,Emili,421580,17,0.2527234211
100558,Reg,421580,8,0.0010521674
100559,Ryley,421581,2,0.0002530759
100560,Giuditta,421581,10,0.0006218323
100561,Hilary,421582,16,0.0047193808
100562,Gabriellia,421582,5,0.0030211038
100563,Sephira,421583,17,0.9765532561
100564,Olivier,421584,10,1.9347978E-9
100565,Priscella,421584,6,0.0004029343
100566,Jarrod,421585,14,0.016968913
100567,Martelle,421586,1,0.0070971248
100568,Jocelyn,421587,2,0.9014804842
100569,Hewe,421588,17,0.0213470793
100570,Heather,421588,12,2.4350739E-6
100571,Camala,421589,11,0.0040721728
100572,Goldina,421589,2,0.0182091477
100573,Margie,421589,12,0.0747193434
100574,Wynne,421590,8,0.0302842668
100575,Sly,421591,13,0.0659955638
100576,Gabe,421591,14,0.0144039765
100577,Abeu,421592,5,0.033480241
100578,Kimmy,421592,12,0.0375430275
100579,Aeriela,421593,13,0.0078300301
100580,Dannye,421594,5,0.0183103353
100581,Caddric,421595,15,0.1850867312
100582,Clevey,421595,12,0.000164425
100583,Wes,421595,6,0.0377565057
100584,Stirling,421596,9,0.0005725781
100585,Otto,421596,11,0.0001489106
100586,Berthe,421596,3,7.0805934E-6
100587,Thornton,421597,1,0.0673120098
100588,Herby,421598,14,0.0085966001
100589,Rica,421599,10,0.080302606
100590,Theodoric,421600,4,0.0000659065
100591,Giustina,421600,12,0.011865626
100592,Ambrosi,421600,10,4.4769706E-6
100593,Leroy,421601,8,0.333365379
100594,Sula,421602,4,0.7664199809
100595,Gretna,421603,6,0.1702075244
100596,Elly,421603,6,0.0001526706
100597,Tiebout,421604,6,0.375001615
100598,Morna,421604,5,0.7808695525
100599,Isidro,421604,16,0.953726206
100600,Stuart,421605,15,0.0006986782
100601,Dulciana,421605,16,0.9733296285
100602,Addison,421605,9,0.191667033
100603,Antonie,421606,10,0.29700762
100604,Jakob,421606,5,0.050486927
100605,Romain,421606,14,0.0407800538
100606,Sholom,421607,7,0.2687228064
100607,Blondelle,421608,1,0.0224636177
100608,Zarah,421609,17,0.1035483264
100609,Derby,421609,2,0.0650134592
100610,Waylen,421609,7,0.2013133836
100611,Callie,421610,7,0.0002784669
100612,Iolanthe,421610,17,0.919749463
100613,Keriann,421611,1,0.0211313806
100614,Zollie,421611,7,0.24357943
100615,Carmelina,421612,17,0.0797116772
100616,Kelsi,421612,16,0.0000430667
100617,Melvin,421613,3,0.0384684316
100618,Eadith,421614,18,0.0004259002
100619,Emerson,421614,1,0.0000791796
100620,Ynes,421615,3,0.0201116252
100621,Tallou,421616,11,0.0811023826
100622,Oliy,421617,17,0.1087217728
100623,Farleigh,421618,8,0.0000172049
100624,Sophronia,421619,8,8.1478129E-9
100625,Revkah,421619,4,0.0002044829
100626,Matthew,421620,16,0.0301007342
100627,Joellyn,421621,10,0.8833341836
100628,Beulah,421621,14,0.4002246083
100629,Kimmie,421621,7,0.3169432801
100630,Jeremy,421622,17,0.0078936921
100631,Kalinda,421623,7,0.0072177718
100632,Godwin,421623,3,4.0242545E-6
100633,Stavros,421623,6,0.0230812137
100634,Stern,421624,18,0.7812289701
100635,Harlan,421624,11,0.0033058057
100636,Tarra,421624,11,0.0006690001
100637,Hastie,421625,7,0.1626486256
100638,Neile,421626,7,0.00295646
100639,Titos,421627,8,0.2398204618
100640,Jorge,421628,16,0.5333948205
100641,Karina,421629,9,0.2412042159
100642,Carolee,421629,1,0.037972316
100643,Aimee,421630,11,0.0347696354
100644,Laverna,421631,3,0.0127154065
100645,Hortense,421632,12,0.0123567054
100646,Glenna,421632,2,0.0028541997
100647,Adelbert,421633,1,0.0084290865
100648,Ash,421633,10,0.1272114356
100649,Geralda,421634,11,0.0003302701
100650,Graehme,421634,17,0.80294803
100651,Kirby,421635,7,0.0006983821
100652,Madelle,421635,1,0.0032510101
100653,Britni,421635,17,0.000023173
100654,Madelyn,421636,17,0.1139465797
100655,Jamison,421636,11,0.0153452815
100656,Merv,421637,1,0.3062224615
100657,Isaiah,421638,18,0.0782701496
100658,Rockwell,421638,1,0.0131658353
100659,Even,421639,8,5.373641E-6
100660,Anastasia,421640,1,0.0015587309
100661,Rosanna,421640,9,0.0024570352
100662,Zack,421641,3,0.4101260024
100663,Ulises,421641,6,0.306074085
100664,Vicky,421642,13,0.0066356434
100665,Bernelle,421643,13,0.6955186165
100666,Iggie,421644,8,0.0000616091
100667,Spenser,421645,9,4.7743196E-9
100668,Harald,421646,8,0.529836302
100669,Giordano,421646,3,0.0156115821
100670,Dolores,421647,7,0.4213418258
100671,Dione,421647,13,0.7211610068
100672,Berky,421647,11,0.1350577713
100673,Catherin,421648,8,0.7406613958
100674,Blinnie,421649,7,0.9961781296
100675,Genia,421650,5,3.2643992E-8
100676,Umeko,421650,8,0.1296544191
100677,Thor,421651,1,0.6382767804
100678,Laurice,421652,7,0.7124991881
100679,Boot,421653,15,0.4580718359
100680,Kingston,421653,10,0.8077027362
100681,Lena,421654,3,0.3809918147
100682,Griswold,421655,11,0.002942878
100683,Teddie,421655,6,0.0177406839
100684,Ole,421656,9,0.0483209034
100685,Aigneis,421657,16,0.4564326835
100686,Harmonie,421657,5,0.0008808394
100687,Denver,421658,5,0.3072911583
100688,Gerry,421659,16,0.4313104217
100689,Marcia,421660,5,0.041478457
100690,Kaylyn,421661,9,0.3798782704
100691,Persis,421662,10,0.005609979
100692,Halsey,421663,14,0.3927932492
100693,Godwin,421663,14,0.0036261761
100694,Renault,421664,7,0.0135951072
100695,Cherida,421665,14,3.3474616E-7
100696,Karly,421665,4,0.1446587079
100697,Maureen,421665,10,0.0010552659
100698,Ricki,421666,2,0.0166183135
100699,Ashley,421667,8,0.0147632678
100700,Helen-elizabeth,421667,14,0.0283728116
100701,Darnell,421668,13,0.0035711214
100702,Sayers,421668,11,0.0154707358
100703,Alvira,421669,18,0.258197245
100704,Corty,421669,9,0.2720363756
100705,Portie,421670,15,0.3342600904
100706,Berenice,421671,1,0.0002069031
100707,Mada,421672,10,0.0001604739
100708,Mildrid,421672,18,0.0121948961
100709,Bobina,421673,0,0.4465582754
100710,Emmott,421673,15,0.004734113
100711,Theodosia,421674,7,0.0133711555
100712,Mariejeanne,421675,10,0.5971743957
100713,Lyssa,421675,9,0.6244305118
100714,Dimitri,421676,12,0.0081718278
100715,Blondy,421677,17,2.4861185E-7
100716,Desiri,421677,16,0.0481066793
100717,Adelaida,421677,5,0.0000131498
100718,Hurley,421678,9,4.6883252E-6
100719,Binnie,421678,2,0.0063345842
100720,Pearl,421679,8,0.0043009037
100721,Auguste,421680,12,0.0000166784
100722,Jodi,421681,1,0.0003693736
100723,Derward,421682,4,0.3433792573
100724,Renell,421682,10,0.0000613842
100725,Lynett,421682,14,0.0169458433
100726,Marco,421683,6,0.0097241003
100727,Zacharie,421684,13,0.0000355625
100728,Katya,421684,3,0.0010066064
100729,Winthrop,421685,3,0.2387384247
100730,Catherin,421685,5,0.2355922914
100731,Denis,421686,1,0.0000898964
100732,Udall,421686,17,0.0006753638
100733,Linea,421687,3,0.0050259202
100734,Ginelle,421687,15,0.1601692285
100735,Doralyn,421687,14,0.9341294792
100736,Arlen,421688,2,0.4158604916
100737,Arden,421688,10,0.0335324754
100738,Carma,421689,17,0.0003706576
100739,Regen,421690,9,0.0020734949
100740,Jon,421691,15,0.1601492507
100741,Julienne,421691,17,0.7794488557
100742,Ellery,421692,15,0.0010690743
100743,Gwendolin,421692,8,0.0829304358
100744,Daveen,421693,11,0.0000176207
100745,Herculie,421694,1,0.5151713121
100746,Helen,421694,13,7.4829191E-6
100747,Louella,421694,3,0.0666813163
100748,Agosto,421695,1,0.5168785379
100749,Domingo,421696,1,0.0008201497
100750,Eleni,421697,11,0.0001409147
100751,Charline,421697,10,9.304918E-19
100752,Dane,421698,16,0.818489061
100753,Paulita,421698,7,2.4592608E-6
100754,Kary,421699,10,0.0511595374
100755,Schuyler,421700,15,0.0004168925
100756,Lizzie,421700,15,0.595268784
100757,Orv,421701,8,0.0941217845
100758,Yoko,421701,13,0.0344263029
100759,Erhart,421701,5,0.000016924
100760,Bartlet,421702,11,0.0122019382
100761,Jeremy,421702,13,0.1017605427
100762,Cherianne,421703,3,0.0159499225
100763,Zita,421704,2,0.4921336886
100764,Terrill,421704,9,0.0284124818
100765,Hulda,421705,16,1.4881792E-8
100766,Engracia,421705,12,0.1137999091
100767,Niall,421706,17,0.1097706952
100768,Malvina,421707,14,0.1026833933
100769,Dorolisa,421707,10,0.0224390344
100770,Orland,421708,18,0.5894376981
100771,Valene,421709,11,0.2418306717
100772,Virginie,421709,2,0.0580823552
100773,Northrop,421710,9,0.0592070272
100774,Doretta,421711,12,0.0000794611
100775,Sari,421712,14,0.0006118747
100776,Lucretia,421713,5,0.5867734046
100777,Lars,421713,12,0.0021166644
100778,Sharon,421714,16,0.0187945946
100779,James,421715,1,0.3316733725
100780,Gillian,421715,17,0.2780303286
100781,Margery,421715,4,0.3378838939
100782,Garrott,421716,5,0.2205383682
100783,Danielle,421716,5,0.0239070917
100784,Moyra,421716,15,0.1058204509
100785,Tiphani,421717,3,0.0005254723
100786,Carolan,421718,15,0.0003620032
100787,Thibaud,421719,2,0.0362093471
100788,Jacqueline,421720,3,0.0000571649
100789,Talya,421721,12,0.6106416962
100790,Vaughn,421722,9,0.2292210335
100791,Harland,421722,16,0.1508455348
100792,Patin,421723,12,0.000024793
100793,Malinda,421724,14,0.0049422302
100794,Guglielmo,421724,12,0.3103509191
100795,Luciano,421724,12,0.173129785
100796,Kalle,421725,4,0.1072745206
100797,Rudyard,421726,6,1.6315819E-6
100798,Solomon,421727,17,0.0017956673
100799,Ingar,421727,15,0.0055402714
100800,Neale,421728,13,1.429749E-10
100801,Lebbie,421728,11,0.0000251708
100802,Cross,421729,10,0.6910864288
100803,Bastian,421729,4,0.225331414
100804,Clem,421730,8,0.0077119157
100805,Pincus,421731,5,0.5743757215
100806,Tiffanie,421731,7,0.0625431335
100807,Mirabelle,421732,13,0.0645906821
100808,Nelie,421733,8,0.7804254444
100809,Silvan,421733,0,0.005346841
100810,Cassi,421734,9,0.0278464457
100811,Ferdy,421735,16,9.0791482E-9
100812,Rycca,421736,16,0.4365855602
100813,Kalindi,421736,15,0.4828233464
100814,Martainn,421737,12,0.0066014952
100815,Binni,421737,8,0.577943468
100816,Abran,421738,13,0.006462246
100817,Blithe,421738,15,8.5749899E-7
100818,Camila,421738,16,0.0001135286
100819,Trey,421739,8,0.0059439069
100820,Krispin,421740,2,0.0021518365
100821,Richard,421741,12,0.4127561502
100822,Alejoa,421742,3,0.1878764551
100823,Dulciana,421743,11,0.0119564539
100824,Sally,421744,6,0.1874050377
100825,Franciskus,421744,1,0.0419961288
100826,Vittoria,421745,7,4.986795E-10
100827,Hannah,421746,17,0.0000703543
100828,Aurie,421747,15,0.0000284381
100829,Janeva,421747,5,0.0375263814
100830,Melamie,421747,13,0.0108443376
100831,Matilde,421748,8,0.1442533213
100832,Garald,421749,17,0.5788361737
100833,Yvon,421749,3,0.2448180916
100834,Andria,421750,1,0.0004078642
100835,Alfy,421751,10,0.0266296398
100836,Gardener,421751,4,0.3395873253
100837,Nonie,421752,17,0.0115895933
100838,Ally,421752,16,0.0064698774
100839,Maud,421753,5,2.0396438E-8
100840,Bertrando,421754,11,0.0135791053
100841,Reamonn,421755,17,0.0013329705
100842,Junina,421756,0,0.0869430586
100843,Erma,421756,18,0.0002372469
100844,Krystyna,421757,9,0.0383786476
100845,Chester,421758,4,1.2242172E-6
100846,Wells,421758,17,0.0000634233
100847,Oberon,421758,1,0.1039196329
100848,Teriann,421759,2,0.0000321761
100849,Otes,421760,16,0.9963802307
100850,Paulette,421760,5,0.679010979
100851,Roberto,421760,10,0.0001422395
100852,Merrel,421761,12,0.0001397606
100853,Mufinella,421761,13,0.0492093921
100854,Myrvyn,421761,17,0.0003708177
100855,Guntar,421762,4,0.1157229724
100856,Vanna,421763,10,0.9082000799
100857,Dulcinea,421764,1,0.0031223704
100858,Trude,421765,3,0.0115955303
100859,Dulcie,421766,11,0.0367980799
100860,Kristian,421767,8,0.0281862476
100861,Derry,421768,10,0.0094692679
100862,Terza,421769,18,0.0003280006
100863,Gallard,421770,3,0.0677372098
100864,Tildie,421771,8,0.1564781707
100865,Nanni,421771,7,0.0006997919
100866,Lucy,421771,17,0.0242564724
100867,Karena,421772,3,0.0050859144
100868,Zenia,421772,6,0.0258710992
100869,Giacopo,421773,10,0.0063247886
100870,Wright,421773,12,0.0030153494
100871,Felic,421774,2,0.04022177
100872,Roxie,421775,8,0.0000171599
100873,Hatty,421776,11,0.5593363913
100874,Bary,421776,5,0.1186138874
100875,Dieter,421777,13,0.0002403538
100876,Myrle,421777,12,0.1293479002
100877,Mackenzie,421778,11,0.2079053181
100878,Timothy,421778,16,1.6952094E-7
100879,Sherwin,421779,18,0.1872918361
100880,Caritta,421780,17,0.0420072482
100881,Bruis,421780,7,0.6402253317
100882,Tera,421780,6,0.2832483147
100883,Early,421781,5,4.8702215E-6
100884,Silvain,421782,1,0.0328126763
100885,Eliot,421783,1,0.0065831645
100886,Lira,421784,11,0.6935689553
100887,Gipsy,421785,7,0.0000434765
100888,Carmina,421786,1,4.808883E-11
100889,Hanson,421787,11,0.0031326653
100890,Salvador,421787,2,0.00188805
100891,Rivalee,421788,4,0.1236555973
100892,Cristina,421788,2,0.0135007224
100893,Pattie,421789,2,0.2443821986
100894,Baryram,421790,11,0.5099667445
100895,Eziechiele,421791,0,0.9252861583
100896,Timothea,421792,2,6.5235579E-7
100897,Shandee,421792,3,0.0280601513
100898,Milena,421792,6,0.0002129685
100899,Mimi,421793,4,4.8998567E-6
100900,Candy,421794,14,0.0030812751
100901,Fianna,421794,18,0.4081895913
100902,Lisle,421795,10,0.0520891667
100903,Archie,421795,18,0.0024788443
100904,Eustacia,421796,4,4.022848E-12
100905,Wilone,421797,8,0.1240493963
100906,Lenora,421797,7,0.3615114156
100907,Jedidiah,421797,6,0.0038190423
100908,Wolfy,421798,14,0.0747186715
100909,Rodger,421799,4,0.0012562151
100910,Erminie,421800,9,0.000553317
100911,Gabriellia,421801,0,7.5341491E-7
100912,Jillane,421801,17,0.0000702215
100913,Alwin,421801,4,0.0260657698
100914,Creight,421802,2,2.710024E-16
100915,Dolores,421803,6,0.9604455241
100916,Thacher,421803,11,0.021672469
100917,Cherilynn,421804,17,1.3931826E-8
100918,Ritchie,421804,13,0.2859354215
100919,Renell,421804,4,0.0017380879
100920,Kassia,421805,9,0.4180819981
100921,Ailey,421806,6,0.0225151048
100922,Valentina,421807,5,0.0041913931
100923,Julian,421808,8,0.1012376448
100924,Athena,421809,1,0.6675756917
100925,Brandice,421810,6,9.4213678E-6
100926,Hyacintha,421810,1,8.4288255E-6
100927,Giovanna,421811,9,0.8608504154
100928,Lucina,421812,4,0.0067158718
100929,Dunc,421812,7,0.0016619698
100930,Ketti,421813,8,0.8168906167
100931,Sydney,421813,3,0.0456163668
100932,Rubia,421814,8,0.0000124402
100933,Derrek,421815,14,6.284037E-10
100934,Emma,421816,1,2.0483431E-6
100935,Ingamar,421817,3,0.5780928892
100936,Arthur,421818,6,0.0005384532
100937,Tabor,421818,17,0.8455433617
100938,Tommy,421819,8,0.0020365063
100939,Tessi,421819,5,0.0000852128
100940,Edmon,421820,10,0.0765439419
100941,Dallas,421821,1,0.0148402534
100942,Mureil,421821,1,0.0358693625
100943,Killy,421822,10,0.6407721459
100944,Cirilo,421823,16,7.5720909E-9
100945,Elnar,421824,3,0.3318681646
100946,Evy,421824,4,0.0815414226
100947,Alanson,421825,9,0.3460315077
100948,Portia,421826,7,0.0261430283
100949,Corrie,421827,14,0.0004370727
100950,David,421827,0,0.4645302305
100951,Carlina,421828,12,0.000557767
100952,Nessa,421828,13,0.011907332
100953,Shell,421829,14,0.0000381059
100954,Wainwright,421829,6,0.0165833533
100955,Kirk,421830,12,0.0000140839
100956,Zabrina,421830,8,0.5008682875
100957,Yehudit,421830,3,0.0039647006
100958,Jecho,421831,15,0.2391727694
100959,Reade,421832,0,0.6785965998
100960,Tobit,421832,4,0.4285060966
100961,Berne,421833,6,0.1477060629
100962,Garner,421833,1,6.3745952E-6
100963,Yvette,421833,8,0.0404024687
100964,Curry,421834,4,0.7400780182
100965,Orel,421834,1,7.5120844E-8
100966,Adelice,421835,8,0.1157720473
100967,Christalle,421835,16,0.0013470117
100968,Gwenore,421835,1,0.9556297237
100969,Merralee,421836,4,0.1747615112
100970,Emile,421837,15,0.0068657231
100971,Fanchette,421837,7,0.2865170884
100972,Damara,421838,12,0.7479552078
100973,Flossy,421839,9,0.0822113175
100974,Ernestine,421840,15,0.1804028205
100975,Del,421841,6,0.0002813184
100976,Emalia,421841,9,0.124171437
100977,Berky,421842,3,0.0039153488
100978,Kariotta,421843,1,0.0000712043
100979,Mark,421843,10,0.0056979515
100980,Merrel,421844,4,0.1042069444
100981,Monique,421844,3,0.1023535858
100982,Willetta,421845,7,0.0014254837
100983,Latashia,421845,10,0.0369840362
100984,Rubia,421846,10,0.0153225004
100985,Efrem,421846,6,0.0039942549
100986,Rooney,421846,7,0.0004857731
100987,Alaster,421847,15,0.0229616773
100988,Estrella,421848,9,0.0094393535
100989,Debora,421848,16,0.0000160904
100990,Ivor,421849,11,0.2465624001
100991,Humberto,421849,7,0.1278864967
100992,Orville,421850,17,0.0037789398
100993,Pavel,421850,4,0.2673355277
100994,Dody,421851,17,0.0916505162
100995,Emelda,421851,6,0.0000613888
100996,Nady,421851,16,0.4022936069
100997,Gavra,421852,2,0.0182910879
100998,Humberto,421853,8,0.2537570452
100999,Saidee,421853,6,0.0000168227
101000,Lissi,421853,16,0.0005189361
101001,Luke,421854,0,0.0064704495
101002,Philippe,421854,12,0.0278114547
101003,Sanford,421855,14,0.0145398646
101004,Goddart,421855,8,0.0257043275
101005,Bette,421855,3,0.0038623608
101006,Dosi,421856,2,0.2133702266
101007,Cordelia,421856,8,0.4245563778
101008,Elvina,421856,7,0.000172507
101009,Abe,421857,6,0.7978708087
101010,Sherry,421857,3,0.006989186
101011,Erika,421857,1,0.0021976323
101012,Les,421858,3,0.0293297538
101013,Geordie,421859,5,0.0686526446
101014,Jozef,421859,9,0.4297248298
101015,Yolande,421860,10,4.1659293E-8
101016,Laura,421860,13,0.0633018964
101017,Jacintha,421860,5,0.0005677099
101018,Natty,421861,17,0.0035940335
101019,Millie,421862,11,0.0002633292
101020,Balduin,421863,9,0.1821708989
101021,Louisette,421864,13,0.7597379617
101022,Madelena,421865,9,0.0001023823
101023,Bat,421866,6,0.1563896371
101024,Iona,421866,3,0.0001181686
101025,Fidela,421867,11,0.003288066
101026,Jeannie,421868,10,0.0065419143
101027,Freddy,421869,1,0.0136823915
101028,Nappy,421870,14,0.0056583078
101029,Marwin,421870,15,3.770805E-6
101030,Bald,421871,15,0.4659979772
101031,Donnajean,421872,13,0.1246456589
101032,Thelma,421873,5,9.9951617E-7
101033,Lilian,421874,8,0.0005936003
101034,Fraze,421875,16,0.0475840541
101035,Mal,421876,1,0.000160752
101036,Victoria,421877,16,0.0775866659
101037,Andre,421877,1,0.7711870729
101038,Delphinia,421878,6,0.0094891889
101039,Jeana,421879,0,0.0165462942
101040,Dniren,421879,13,0.0097486226
101041,Joana,421879,7,0.0256604717
